filename	acq_time	original_filename
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-01_ieeg.vhdr	1915-03-17T04:53:50	JH108sz2_0001.edf
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-02_ieeg.vhdr	1922-01-08T00:36:48	JH108sz3_0001.edf
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-03_ieeg.vhdr	1923-06-02T01:26:46	JH108sz4_0001.edf
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-04_ieeg.vhdr	1914-03-24T18:22:38	JH108sz5_0001.edf
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-05_ieeg.vhdr	1923-01-25T04:16:38	JH108sz6_0001.edf
ieeg/sub-jh108_ses-presurgery_task-ictal_acq-ecog_run-06_ieeg.vhdr	1917-03-28T15:05:56	JH108sz7_0001.edf
